Keyword Stats 2026-07-05 at 10_22_01
2025年6月1日 - 2026年5月31日
Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
		所有	69500.0
		墨西哥	31218.0
		秘鲁	16995.0
		哥伦比亚	11290.0
		智利	9997.0
brainstorming	TWD		50000.0	0%	0%	低	1	6.13	46.96
catálogo de mobiliario comercial	TWD
catálogo de mobiliario hotelero	TWD
catálogo de muebles de oficina	TWD		500.0	-90%	-90%	高	82	8.77	58.14
catálogo de muebles para hoteles	TWD
catálogo de muebles para oficinas	TWD
catálogo de muebles para proyectos	TWD
catálogos de mobiliario para proyectos	TWD
catálogos de muebles para empresas	TWD
control de calidad de muebles	TWD		50.0	0%	0%	低	4
cotización de mobiliario	TWD
cotización de muebles de oficina	TWD		50.0	0%	0%	高	86	73.15	173.46
cotización de muebles para hotel	TWD
cotizar proyecto de mobiliario	TWD
descargar catálogo hotelero	TWD
embalaje para exportación de muebles	TWD
enviar proyecto de mobiliario por whatsapp	TWD
estaciones de enfermería	TWD
estaciones de trabajo para oficina	TWD		500.0	0%	0%	高	92	16.14	91.65
fabricación de muebles para exportación	TWD
fabricante de mobiliario para proyectos	TWD
fabricante de muebles a medida	TWD		50.0	0%	0%	高	81	5.66	19.56
fabricante de muebles de oficina	TWD		50.0	0%	0%	高	68	30.57	181.86
fabricante de muebles en china	TWD
fabricante de muebles para hoteles	TWD
ff&e hotelero	TWD
fábrica de muebles en china	TWD
mobiliario colaborativo	TWD		50.0	0%	0%	中	47
mobiliario corporativo	TWD		50.0	-90%	0%	高	88	16.42	143.32
mobiliario de oficina	TWD		5000.0	0%	0%	高	86	15.52	410.48
mobiliario escolar	TWD		5000.0	0%	0%	高	76	11.60	50.41
mobiliario exterior para hoteles	TWD
mobiliario hospitalario	TWD		500.0	0%	0%	中	44	5.91	28.01
mobiliario hotelero	TWD		50.0	0%	0%	中	48	16.81	64.11
mobiliario hotelero a medida	TWD
mobiliario para apartamentos de lujo	TWD
mobiliario para aulas escolares	TWD		50.0	0%	0%	中	38	2.76	12.28
mobiliario para aulas steam	TWD
mobiliario para bar hotelero	TWD
mobiliario para bibliotecas escolares	TWD		50.0	0%	0%	低	26	6.38	18.03
mobiliario para comedores escolares	TWD		50.0	0%	0%	低	20	5.32	19.07
mobiliario para conferencias hoteleras	TWD
mobiliario para consultorios médicos	TWD
mobiliario para cuidados y recuperación	TWD
mobiliario para desarrollos residenciales	TWD
mobiliario para habitaciones de hotel	TWD		50.0	0%	0%	低	14
mobiliario para hoteles	TWD		50.0	0%	0%	中	50	11.49	56.84
mobiliario para laboratorios clínicos	TWD
mobiliario para laboratorios educativos	TWD
mobiliario para oficinas ejecutivas	TWD		50.0	0%	-100%
mobiliario para recepción de oficina	TWD
mobiliario para restaurantes de hotel	TWD
mobiliario para salas de reunión	TWD
mobiliario para zonas colaborativas	TWD
muebles de baño para hoteles	TWD
muebles de oficina por volumen	TWD
muebles directo de fábrica china	TWD
muebles escolares	TWD		500.0	0%	0%	中	59	12.78	59.99
muebles hospitalarios	TWD		50.0	-90%	0%	中	44	1.59	13.24
muebles para apartamentos de lujo	TWD
muebles para bar de hotel	TWD
muebles para escuelas	TWD		500.0	0%	0%	高	83	13.45	47.06
muebles para espacios colaborativos	TWD		50.0	0%	-100%
muebles para habitaciones de hotel	TWD		50.0	0%	0%	中	38	9.86	39.61
muebles para habitaciones hospitalarias	TWD
muebles para hotel directo de fábrica	TWD
muebles para hoteles	TWD		500.0	0%	0%	中	52	12.99	55.80
muebles para oficina	TWD		5000.0	0%	0%	高	98	12.35	413.27
muebles para proyectos residenciales	TWD
muebles para restaurante de hotel	TWD
muebles para salas de conferencias de hotel	TWD
muebles para salas de juntas	TWD		50.0	0%	-90%	高	93	14.70	75.69
muebles para unidades modelo	TWD
muebles para villas de lujo	TWD
proveedor de mobiliario comercial	TWD
proveedor de mobiliario hotelero	TWD
proveedor de mobiliario para proyectos	TWD
proveedor de muebles de oficina	TWD		50.0	0%	0%	高	96	30.64	204.51
proyectos de mobiliario	TWD		50.0	0%	0%	低	3
proyectos de mobiliario de oficina	TWD		50.0	0%	0%	低	3
proyectos de mobiliario escolar	TWD
proyectos de mobiliario hospitalario	TWD
proyectos de mobiliario hotelero	TWD
puestos de trabajo para oficina	TWD		500.0	0%	-90%	低	24	4.09	18.70
sillas de oficina para empresas	TWD
sillas de oficina para proyectos	TWD
solicitar cotización de muebles	TWD
